ID,Text,Sentiment
1,I love this product! It's amazing.,Positive
2,The movie was terrible and boring.,Negative
3,What a fantastic experience!,Positive
4,I hate the food here.,Negative
5,The customer service was excellent.,Positive
6,The phone stopped working after a week.,Negative
7,Absolutely wonderful! Highly recommend.,Positive
8,Worst purchase I have ever made.,Negative
9,The view from the hotel was breathtaking!,Positive
10,Not worth the price at all.,Negative
11,Amazing quality and fast delivery.,Positive
12,Disappointed with the battery life.,Negative
13,Such a beautiful and inspiring book.,Positive
14,The app crashes every time I use it.,Negative
15,The staff was so friendly and helpful.,Positive
16,I regret buying this laptop. Too slow.,Negative
17,Best decision I ever made.,Positive
18,Not functional at all. Waste of money.,Negative
19,I am so happy with my new phone!,Positive
20,This chair is uncomfortable and cheap.,Negative
21,Excellent service and support.,Positive
22,The wait time was ridiculous.,Negative
23,Everything about this restaurant is perfect!,Positive
24,The software is full of bugs.,Negative
25,Highly satisfied with my purchase.,Positive
26,The shoes fell apart in a week.,Negative
27,I can't stop recommending this to friends!,Positive
28,Extremely rude customer support.,Negative
29,Top-notch performance and build quality.,Positive
30,The colors faded after one wash.,Negative
31,Super easy to set up and use.,Positive
32,It didn't meet my expectations at all.,Negative
33,I'm beyond impressed with this experience.,Positive
34,It broke within the first month.,Negative
35,Fast shipping and well-packaged.,Positive
36,It smelled really bad upon opening.,Negative
37,The gaming experience is next level!,Positive
38,Horrible taste. Would not buy again.,Negative
39,So convenient and reliable!,Positive
40,Completely useless and misleading description.,Negative
41,The fit is perfect and comfortable.,Positive
42,Terrible connectivity issues with Bluetooth.,Negative
43,I had the best time at this event!,Positive
44,The instructions were unclear and confusing.,Negative
45,Smooth and efficient performance.,Positive
46,Tastes awful. Never buying again.,Negative
47,One of the best investments I've made.,Positive
48,Returned it the same day. Poor quality.,Negative
49,I'm thrilled with this amazing product!,Positive
50,Avoid at all costs. Total scam.,Negative
